depth_ppm,discovery_method,discovery_year,distance_ratio,duration_hours,eccentricity,equilibrium_temp_k,fp_flag_co,fp_flag_ec,fp_flag_nt,fp_flag_ss,impact_parameter,inclination_deg,insolation_flux,label,label_raw,longitude_periastron,mission,object_id,period_days,planet_mass_earth,planet_mass_jupiter,planet_radius_jupiter,planet_radius_rearth,radius_ratio,score,semi_major_axis_au,stellar_age_gyr,stellar_density,stellar_distance_pc,stellar_logg,stellar_luminosity,stellar_mass_msun,stellar_metallicity,stellar_radius_rsun,stellar_teff_k,transit_epoch,transit_ingress_hours,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded,stellar_radius_solar,stellar_mass_solar,transit_depth_mag,habitable_zone_inner,habitable_zone_outer,in_habitable_zone,transit_snr,has_radius_measurement,has_mass_measurement,has_stellar_parameters
641.7,,,34.4,6.923,0.0,429.0,0.0,0.0,0.0,0.0,0.982,88.37,7.99,planet,CONFIRMED,,kepler,K00474.03,94.886902,1.0,,,4.24,0.02533179819910146,1.0,0.4025,4.6,0.08569,100.0,4.342,1.0,0.966,-0.1,1.097,5888.0,214.82879,,0.003040022671762783,0.010538862360581653,0.027788982624414302,0,1.097,0.966,0.0006969405598950257,,,False,25.331798199101463,True,False,True
300.1,,,9.14,3.432,0.0,722.0,0.0,0.0,0.0,0.0,0.934,84.14,64.29,planet,CONFIRMED,,kepler,K00582.03,9.93962361,1.0,,,1.93,0.017323394586512195,0.559,0.0844,4.6,0.14635,100.0,4.469,1.0,0.81,0.14,0.868,5105.0,131.58267,,0.014386862683223875,0.10060743135121593,0.015036706501092586,0,0.868,0.81,0.00032587833553827396,,,False,17.323394586512197,True,False,True
1655.5,,,42.13,3.4744,0.0,603.0,0.0,0.0,0.0,0.0,0.034,89.95,31.27,planet,CONFIRMED,,kepler,K00507.01,18.49234792,1.0,,,3.34,0.04068783602011786,1.0,0.1254,4.6,4.13534,100.0,4.477,1.0,0.769,-0.18,0.838,5289.0,173.49816,,0.007828463280755031,0.0540764214650359,0.03409640658485876,0,0.838,0.769,0.001798925758971242,,,False,40.68783602011786,True,False,True
539.0,,,12.8,1.8732,0.0,722.0,0.0,0.0,0.0,0.0,0.032,89.86,64.09,planet,CONFIRMED,,kepler,K00500.03,3.072146607,1.0,,,1.3,0.0232163735324878,1.0,0.0346,4.6,4.20279,100.0,4.697,1.0,0.584,-0.14,0.567,4041.0,134.030017,,0.02540568858991305,0.3255052990379635,0.01316368379292058,0,0.567,0.584,0.0005853695856435823,,,False,23.216373532487797,True,False,True
462.8,,,17.77,6.468,0.0,386.0,0.0,0.0,0.0,0.0,0.988,86.81,5.23,planet,CONFIRMED,,kepler,K02535.01,48.8882668,1.0,,,2.96,0.021512786895239774,0.999,0.2395,4.6,0.04438,100.0,4.529,1.0,0.765,0.16,0.788,4821.0,153.8341,,0.005512570144949381,0.020454805732650766,0.01695207607344894,0,0.788,0.765,0.0005025950250235578,,,False,21.51278689523977,True,False,True
893.6,,,33.12,4.4056,0.0,701.0,0.0,0.0,0.0,0.0,0.08,89.86,57.13,planet,CONFIRMED,,kepler,K00829.01,18.64932728,1.0,,,3.12,0.02989314302645341,1.0,0.139,4.6,1.97596,100.0,4.405,1.0,1.026,0.16,1.053,5775.0,174.771,,0.00984307175860054,0.0536212371087736,0.03147747960685544,0,1.053,1.026,0.0009706476225487548,,,False,29.89314302645341,True,False,True
1037.4,,,17.77,2.153,0.0,569.0,0.0,0.0,0.0,0.0,0.351,88.87,24.75,planet,CONFIRMED,,kepler,K00898.02,5.169804269,1.0,,,1.66,0.032208694478354755,1.0,0.0467,4.6,3.97487,100.0,4.73,1.0,0.508,-0.32,0.509,3906.0,172.63153,,0.017352365518218293,0.19343092077902418,0.01639422548948257,0,0.509,0.508,0.0011269273771655273,,,False,32.20869447835475,True,False,True
908.9,,,54.2,2.0831,0.0,416.0,0.0,0.0,0.0,0.0,0.805,89.15,7.09,planet,CONFIRMED,,kepler,K01430.02,22.92886314,1.0,,,2.08,0.030147968422432714,1.0,0.1367,4.6,5.72734,100.0,4.677,1.0,0.662,-0.24,0.611,4463.0,143.86271,,0.00378543989745029,0.043613152291684006,0.018420408706106388,0,0.611,0.662,0.0009872743713391613,,,False,30.147968422432715,True,False,True
197.9,,,29.9,3.678,0.0,574.0,0.0,0.0,0.0,0.0,0.494,89.05,25.59,planet,CONFIRMED,,kepler,K03330.01,16.2951259,1.0,,,1.15,0.014067693485429656,0.993,0.116,4.6,1.9121,100.0,4.512,1.0,0.781,0.16,0.812,4915.0,144.80425,,0.009404652712747683,0.06136804380259499,0.011422967110168882,0,0.812,0.781,0.00021488845883600748,,,False,14.067693485429656,True,False,True
214.0,,,6.9,1.9743,0.0,1463.0,0.0,0.0,0.0,0.0,0.537,85.54,1082.28,planet,CONFIRMED,,kepler,K00573.02,2.06190864,1.0,,,1.63,0.014628738838327795,0.999,0.0313,4.6,1.46184,100.0,4.346,1.0,0.958,0.14,1.089,5622.0,133.19888,,0.03989628754841437,0.48498754047609016,0.015930696594938967,0,1.089,0.958,0.00023237241255334,,,False,14.628738838327793,True,False,True
