object_id,period_days,duration_hours,depth_ppm,planet_radius_rearth,planet_mass_earth,score,label_raw,stellar_teff_k,stellar_radius_rsun,stellar_logg,stellar_mass_msun,stellar_metallicity,impact_parameter,semi_major_axis_au,inclination_deg,equilibrium_temp_k,insolation_flux,distance_ratio,stellar_density,transit_epoch,eccentricity,longitude_periastron,transit_ingress_hours,radius_ratio,stellar_luminosity,stellar_age_gyr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,mission,label,stellar_distance_pc,planet_radius_jupiter,planet_mass_jupiter,discovery_year,discovery_method,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded,stellar_radius_solar,stellar_mass_solar,transit_depth_mag,habitable_zone_inner,habitable_zone_outer,in_habitable_zone,transit_snr,has_radius_measurement,has_mass_measurement,has_stellar_parameters,multi_planet_system,binary_label
K07732.01,0.759768478,2.824,57.4,0.64,1.0,0.0,FALSE POSITIVE,5481.0,0.815,4.574,0.914,-0.06,0.583,0.0158,71.66,1737.0,2149.06,1.851,0.20786,131.78573,0.0,0.0,0.0,0.0075762787699503245,1.0,4.6,1.0,0.0,0.0,1.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.1548717406339496,1.3161904303168523,0.006174667197509514,0,0.815,0.914,6.232304684165708e-05,0.0,0.0,False,7.576278769950324,True,False,True,False,not_exoplanet
K01119.02,13.55480534,2.288,48.3,0.62,1.0,0.0,FALSE POSITIVE,5370.0,0.874,4.494,0.869,0.04,0.497,0.1062,89.28,679.0,50.41,39.6,6.39782,139.81609,0.0,0.0,0.0,0.006949820141557622,1.0,4.6,0.0,0.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.007033176127731343,0.07377457476641269,0.006074142803721361,0,0.874,0.869,5.2442325182167445e-05,0.0,0.0,False,6.9498201415576215,True,False,True,False,not_exoplanet
K07858.01,1.60375114,1.498,51.0,0.82,1.0,0.0,FALSE POSITIVE,5818.0,1.116,4.292,0.891,-0.24,0.54,0.0258,85.57,1688.0,1918.63,6.99,2.51006,132.16816,0.0,0.0,0.0,0.007141428428542849,1.0,4.6,0.0,0.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.03891917212708367,0.6235381382176289,0.00796983412625382,0,1.116,0.891,5.5373958490633976e-05,0.0,0.0,False,7.1414284285428495,True,False,True,False,not_exoplanet
K02818.01,1.79683793,7.911,223.3,3.37,1.0,0.0,FALSE POSITIVE,7592.0,1.714,4.159,1.545,-0.14,0.979,0.0335,27.73,2397.0,7783.32,1.106,0.00792,134.83029,0.0,0.0,0.0,0.014943225890014513,1.0,4.6,0.0,1.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.18344726282575746,0.5565332205559574,0.025612689175484874,0,1.714,1.545,0.00024247196752534702,0.0,0.0,False,14.943225890014512,True,False,True,False,not_exoplanet
K07084.01,3.6972959,21.335,19.7,1.07,1.0,0.0,FALSE POSITIVE,6313.0,1.594,4.12,1.22,0.0,0.995,0.0501,12.18,1571.0,1438.97,1.018,0.00146,131.753,0.0,0.0,0.0,0.004438468204234429,1.0,4.6,1.0,0.0,0.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.2404347278056196,0.2704679384736288,0.0070749183175496805,0,1.594,1.22,2.138921391813608e-05,0.0,0.0,False,4.438468204234429,True,False,True,False,not_exoplanet
K02784.01,4.14244748,2.203,69.9,1.82,1.0,0.0,FALSE POSITIVE,6785.0,2.124,3.83,1.113,-0.96,0.386,0.0523,88.35,1907.0,3128.33,13.39,2.64528,132.907,0.0,0.0,0.0,0.008360621986431392,1.0,4.6,0.0,0.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.02215880034927242,0.24140318129030328,0.017757961099180278,0,2.124,1.113,7.589561329513357e-05,0.0,0.0,False,8.360621986431394,True,False,True,False,not_exoplanet
K04155.01,12.422216754,6.5533,54.5,0.8,1.0,0.0,FALSE POSITIVE,6231.0,1.084,4.424,1.14,0.0,0.056,0.1097,89.78,864.0,131.73,14.568675,0.37907,141.8461927,0.0,0.0,0.0,0.007382411530116701,1.0,4.6,1.0,0.0,1.0,1.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.021981114327178537,0.08050092989063294,0.008002534098646505,0,1.084,1.14,5.917423567184108e-05,0.0,0.0,False,7.3824115301167,True,False,True,False,not_exoplanet
K01575.01,24.3282251,6.158,1120.6,294.02,1.0,0.0,FALSE POSITIVE,5286.0,0.78,4.59,0.872,-0.06,4.426,0.1566,72.91,520.0,17.33,15.06,0.10913,141.05149,0.0,0.0,0.0,0.033475364075690045,1.0,4.6,0.0,1.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.010546734596488642,0.04110451937572708,0.026110783979038234,0,0.78,0.872,0.0012173582043161872,0.0,0.0,False,33.475364075690045,True,False,True,False,not_exoplanet
K08194.01,236.25776888,3.3549,168.4,2.69,1.0,0.024,FALSE POSITIVE,6645.0,2.054,3.952,1.382,-0.2,0.085,0.8328,89.99,460.0,10.61,542.525182,54.1184,153.9570927,0.0,0.0,0.0,0.012976902558006667,1.0,4.6,1.0,0.0,0.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.0005916736650086662,0.0042326650452198245,0.02665455785414569,0,2.054,1.382,0.00018285337356743514,0.0,0.0,False,12.97690255800667,True,False,True,False,not_exoplanet
K06416.01,1.22578134,2.235,99376.0,53.32,1.0,0.0,FALSE POSITIVE,5780.0,1.0,4.438,1.0,0.0,0.985,0.0225,78.2,1701.0,1973.12,4.82,1.40959,131.6062,0.0,0.0,0.0,0.3152395914221436,1.0,4.6,0.0,1.0,0.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.07597195108223788,0.8158061861179907,0.3152395914221436,0,1.0,1.0,0.1136412101418908,0.0,0.0,False,315.2395914221435,True,False,True,False,not_exoplanet
